Passo,Estado,Taxa Configurada (Mbps),Bytes Transmitidos
333,1,10,6557600
334,1,10,6557600
335,1,10,6559000
336,2,50,32772600
337,2,50,32772600
338,2,50,32772600
339,2,50,32772600
340,0,0,0
341,0,0,0
342,0,0,0
343,2,50,32772600
344,2,50,32772600
345,1,10,6557600
346,1,10,6557600
347,2,50,32772600
348,2,50,32772600
349,2,50,32772600
350,2,50,32772600
351,2,50,32772600
352,1,10,6557600
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,0,0,0
358,1,10,6557600
359,1,10,6557600
360,2,50,32772600
361,1,10,6557600
362,1,10,6557600
363,2,50,32772600
364,1,10,6557600
365,1,10,6557600
366,1,10,6559000
367,1,10,6557600
368,0,0,0
369,0,0,0
370,0,0,0
371,1,10,6559000
372,1,10,6557600
373,1,10,6557600
374,1,10,6557600
375,2,50,32772600
376,1,10,6557600
377,2,50,32772600
378,2,50,32772600
379,1,10,6557600
380,1,10,6557600
381,2,50,32772600
382,1,10,6559000
383,1,10,6559000
384,1,10,6559000
385,1,10,6557600
386,1,10,6557600
387,1,10,6557600
388,1,10,6557600
389,0,0,0
390,1,10,6557600
391,1,10,6557600
392,1,10,6559000
393,0,0,0
394,0,0,0
395,1,10,6557600
396,1,10,6557600
397,0,0,0
398,2,50,32772600
399,1,10,6557600
400,0,0,0
401,1,10,6557600
402,1,10,6557600
403,1,10,6557600
404,1,10,6557600
405,1,10,6559000
406,1,10,6557600
407,2,50,32772600
408,1,10,6557600
409,0,0,0
410,0,0,0
411,1,10,6557600
412,1,10,6557600
413,0,0,0
414,0,0,0
415,0,0,0
416,2,50,32772600
417,2,50,32772600
418,2,50,32772600
419,1,10,6557600
420,1,10,6559000
421,0,0,0
422,1,10,6559000
423,1,10,6557600
424,0,0,0
425,0,0,0
426,0,0,0
427,0,0,0
428,0,0,0
429,0,0,0
430,1,10,6557600
431,2,50,32772600
432,1,10,6559000
433,1,10,6557600
434,0,0,0
435,0,0,0
436,1,10,6557600
437,0,0,0
438,0,0,0
439,0,0,0
440,1,10,6557600
441,1,10,6557600
442,1,10,6557600
443,1,10,6557600
444,0,0,0
445,0,0,0
446,1,10,6557600
447,1,10,6557600
448,1,10,6557600
449,0,0,0
450,0,0,0
451,1,10,6559000
452,1,10,6557600
453,0,0,0
454,0,0,0
455,0,0,0
456,1,10,6557600
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,1,10,6557600
462,1,10,6557600
463,2,50,32772600
464,2,50,32772600
465,2,50,32772600
466,2,50,32772600
467,2,50,32772600
468,0,0,0
469,0,0,0
470,1,10,6557600
471,1,10,6557600
472,0,0,0
473,0,0,0
474,0,0,0
475,1,10,6557600
476,1,10,6559000
477,1,10,6557600
478,2,50,32772600
479,2,50,32772600
480,1,10,6557600
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,2,50,32772600
486,2,50,32772600
487,2,50,32772600
488,2,50,32772600
489,2,50,32772600
490,1,10,6557600
491,1,10,6557600
492,0,0,0
493,0,0,0
494,2,50,32772600
495,1,10,6557600
496,1,10,6557600
497,1,10,6557600
498,1,10,6557600
499,2,50,32772600
500,2,50,32772600
